OFFICE SUPPLIES (FUR),,,,,,,,,,,,,
,,,,,,,,,,,,,
Column1,Column2,Column3,,,,,,,,,,,
Item,Description,Stock No.,,,,,,,,,,,
,,,,,,,,,,,,,
Wooden Contemporary Office Filing Cabinet,"versatile divider, data and archive storage functional planter, 160cm(L)x40cm(W)x90cm(H); 3 drawers; light brown",092,,,,,,,,,,,
Kids Toy Storage Rack Children's Bookshelf,multi purpose display book; organizer size: 124*30*100cm LWH; color: white; Material: imported MDF Wood; Features: can be used as a toy storage rack,093,,,,,,,,,,,
ETA Office Table,fully laminated; wood grain wengue color woth lockable drawer and 3 drawer cabinets pedestal (right and side) and drawer swing cabinet pedestal (left and side+ Dimension: DxWxH: 1400 x 680 x750mm,094,,,,,,,,,,,
Teachers Table,with drawer and side drawer; 63L x 64H,095,,,,,,,,,,,
Office Wooden Chair,with armrest and nylon sitting,096,,,,,,,,,,,
Long Wood Table,Dimesion: 8 ft x 2 ft,097,,,,,,,,,,,
Nordic Table,Round; High Density Board and Pine Wood,098,,,,,,,,,,,
Teachers Office Table,Marine Plywood; 2 Drawers with lock and paint finished,099,,,,,,,,,,,
,,100,,,,,,,,,,,
,,101,,,,,,,,,,,
,,102,,,,,,,,,,,
,,103,,,,,,,,,,,
,,104,,,,,,,,,,,
,,105,,,,,,,,,,,
,,106,,,,,,,,,,,
,,107,,,,,,,,,,,
,,108,,,,,,,,,,,
,,109,,,,,,,,,,,
,,110,,,,,,,,,,,
,,111,,,,,,,,,,,
,,112,,,,,,,,,,,
,,113,,,,,,,,,,,
,,114,,,,,,,,,,,
,,115,,,,,,,,,,,
,,116,,,,,,,,,,,
,,117,,,,,,,,,,,
,,118,,,,,,,,,,,
,,119,,,,,,,,,,,
,,120,,,,,,,,,,,
,,121,,,,,,,,,,,
,,122,,,,,,,,,,,
,,123,,,,,,,,,,,
,,124,,,,,,,,,,,
,,125,,,,,,,,,,,
,,126,,,,,,,,,,,
,,127,,,,,,,,,,,
,,128,,,,,,,,,,,
,,129,,,,,,,,,,,
,,130,,,,,,,,,,,
,,131,,,,,,,,,,,
,,132,,,,,,,,,,,
,,133,,,,,,,,,,,
,,134,,,,,,,,,,,
,,135,,,,,,,,,,,
,,136,,,,,,,,,,,
,,137,,,,,,,,,,,
,,138,,,,,,,,,,,
,,139,,,,,,,,,,,
,,140,,,,,,,,,,,
,,141,,,,,,,,,,,
,,142,,,,,,,,,,,
,,143,,,,,,,,,,,
,,144,,,,,,,,,,,
,,145,,,,,,,,,,,
,,146,,,,,,,,,,,
,,147,,,,,,,,,,,
,,148,,,,,,,,,,,
,,149,,,,,,,,,,,
,,150,,,,,,,,,,,
,,151,,,,,,,,,,,
